"","Date","Open","High","Low","Close","Adj Close","Volume","Company"
"1",2010-01-04,236.050003051758,239.600006103516,233.520004272461,238.580001831055,164.417709350586,238700,"BLK"
"2",2010-01-05,239.050003051758,239.669998168945,236.759994506836,239.610000610352,165.127517700195,198800,"BLK"
"3",2010-01-06,238.509994506836,238.649993896484,234.059997558594,234.669998168945,161.723175048828,278500,"BLK"
"4",2010-01-07,234.660003662109,237.699996948242,234,237.25,163.50114440918,218300,"BLK"
"5",2010-01-08,237.460006713867,239.410003662109,236.75,238.919998168945,164.652008056641,224400,"BLK"
"6",2010-01-11,239.949996948242,243.800003051758,239.949996948242,242.809997558594,167.332855224609,207900,"BLK"
"7",2010-01-12,241.240005493164,243.190002441406,238.470001220703,238.470001220703,164.341918945312,208100,"BLK"
"8",2010-01-13,234.220001220703,239.949996948242,234.220001220703,239.419998168945,164.996612548828,203400,"BLK"
"9",2010-01-14,239.169998168945,240.289993286133,237,237.899993896484,163.949096679688,163900,"BLK"
"10",2010-01-15,237.850006103516,238.699996948242,236.160003662109,238.089996337891,164.080062866211,197000,"BLK"
"11",2010-01-19,237.690002441406,240.860000610352,234.229995727539,240.009994506836,165.403182983398,187600,"BLK"
"12",2010-01-20,239,239.389999389648,235.330001831055,238.259994506836,164.197235107422,203000,"BLK"
"13",2010-01-21,240.020004272461,240.020004272461,229.880004882812,230.240005493164,158.670227050781,354700,"BLK"
"14",2010-01-22,229.490005493164,235.679992675781,222.610000610352,225,155.059020996094,282600,"BLK"
"15",2010-01-25,225.440002441406,228.289993286133,223.860000610352,226.460006713867,156.065185546875,195600,"BLK"
"16",2010-01-26,224.550003051758,228.889999389648,223.5,224.710006713867,154.85920715332,203100,"BLK"
"17",2010-01-27,228.360000610352,231.130004882812,218.550003051758,226.770004272461,156.278823852539,560200,"BLK"
"18",2010-01-28,227,228.449996948242,215.740005493164,219.639999389648,151.365203857422,632900,"BLK"
"19",2010-01-29,224.809997558594,224.809997558594,212.660003662109,213.820007324219,147.354354858398,483100,"BLK"
"20",2010-02-01,215.25,219.229995727539,215.020004272461,216.570007324219,149.249572753906,426400,"BLK"
"21",2010-02-02,212.850006103516,216.380004882812,209.289993286133,216,148.856658935547,716700,"BLK"
"22",2010-02-03,215.809997558594,221.889999389648,215.050003051758,220.639999389648,152.054412841797,601700,"BLK"
"23",2010-02-04,216.789993286133,217.619995117188,210.5,211.25,145.583236694336,540500,"BLK"
"24",2010-02-05,210.440002441406,212.5,200.559997558594,208.789993286133,143.887908935547,884900,"BLK"
"25",2010-02-08,209.399993896484,209.960006713867,204.610000610352,204.660003662109,141.041732788086,356400,"BLK"
"26",2010-02-09,206.869995117188,209.369995117188,205.149993896484,208.880004882812,143.949905395508,564800,"BLK"
"27",2010-02-10,208.130004882812,212.910003662109,208.130004882812,211.130004882812,145.500518798828,619400,"BLK"
"28",2010-02-11,210.770004272461,211.25,206.110000610352,207.300003051758,142.86100769043,437100,"BLK"
"29",2010-02-12,205.380004882812,207.160003662109,202.820007324219,207.160003662109,142.764602661133,396400,"BLK"
"30",2010-02-16,208.300003051758,210.410003662109,207,210.410003662109,145.004302978516,277100,"BLK"
"31",2010-02-17,210.399993896484,213.679992675781,209.949996948242,213.089996337891,146.85124206543,372500,"BLK"
"32",2010-02-18,214.399993896484,215.240005493164,211.259994506836,213.729995727539,147.292297363281,350900,"BLK"
"33",2010-02-19,214.25,216.190002441406,213.600006103516,215.509994506836,148.518997192383,294800,"BLK"
"34",2010-02-22,217.520004272461,219.300003051758,216.039993286133,217.229995727539,149.704360961914,374900,"BLK"
"35",2010-02-23,217.559997558594,219.210006713867,214.770004272461,214.869995117188,148.077941894531,276000,"BLK"
"36",2010-02-24,217.25,218.979995727539,216.5,218.360000610352,150.483062744141,280500,"BLK"
"37",2010-02-25,216.5,219.119995117188,214.589996337891,218.300003051758,150.44172668457,359100,"BLK"
"38",2010-02-26,217.5,219.850006103516,217.5,218.800003051758,150.786331176758,302500,"BLK"
"39",2010-03-01,217.910003662109,219.809997558594,216.360000610352,218,150.235000610352,389700,"BLK"
"40",2010-03-02,219.889999389648,220.320007324219,216.410003662109,216.410003662109,149.139251708984,568200,"BLK"
"41",2010-03-03,218.160003662109,219.220001220703,214.589996337891,216.080001831055,148.911849975586,500900,"BLK"
"42",2010-03-04,217.910003662109,217.910003662109,212.279998779297,215.839996337891,149.438034057617,300600,"BLK"
"43",2010-03-05,217,219.880004882812,215.460006713867,219.830001831055,152.200500488281,557200,"BLK"
"44",2010-03-08,219.830001831055,219.830001831055,216.440002441406,218.119995117188,151.016571044922,293900,"BLK"
"45",2010-03-09,216.990005493164,218.880004882812,215.860000610352,216.970001220703,150.220352172852,323100,"BLK"
"46",2010-03-10,217.800003051758,218.880004882812,215.389999389648,215.699996948242,149.341125488281,502000,"BLK"
"47",2010-03-11,214.289993286133,215.460006713867,209.649993896484,210.410003662109,145.678558349609,730900,"BLK"
"48",2010-03-12,211.979995727539,213.740005493164,208.350006103516,210,145.394683837891,601600,"BLK"
"49",2010-03-15,209.020004272461,213.210006713867,208.649993896484,212.169998168945,146.897018432617,384800,"BLK"
"50",2010-03-16,213.509994506836,213.509994506836,210.589996337891,212.350006103516,147.021728515625,290400,"BLK"
"51",2010-03-17,220,226.649993896484,219.490005493164,222.800003051758,154.2568359375,895300,"BLK"
"52",2010-03-18,223.009994506836,227,222.270004272461,225.660003662109,156.236953735352,406000,"BLK"
"53",2010-03-19,224.350006103516,225.990005493164,221.160003662109,224.350006103516,155.329956054688,514700,"BLK"
"54",2010-03-22,223,225.800003051758,222.009994506836,225.699996948242,156.264633178711,296900,"BLK"
"55",2010-03-23,225.679992675781,227.770004272461,224.800003051758,227,157.164688110352,301200,"BLK"
"56",2010-03-24,226.009994506836,226.919998168945,223.75,225,155.780014038086,327500,"BLK"
"57",2010-03-25,225.009994506836,227.699996948242,224.350006103516,225.410003662109,156.063888549805,486500,"BLK"
"58",2010-03-26,225.929992675781,225.940002441406,218.080001831055,219.270004272461,151.81282043457,538100,"BLK"
"59",2010-03-29,219,220.429992675781,215.429992675781,220.050003051758,152.352783203125,314600,"BLK"
"60",2010-03-30,220.009994506836,220.119995117188,217.720001220703,219.130004882812,151.7158203125,222800,"BLK"
"61",2010-03-31,218.770004272461,221.779998779297,216.710006713867,217.759994506836,150.767349243164,324800,"BLK"
"62",2010-04-01,211.440002441406,211.979995727539,206.949996948242,211.050003051758,146.121643066406,1632300,"BLK"
"63",2010-04-05,210.690002441406,210.690002441406,205.570007324219,206,142.625198364258,645300,"BLK"
"64",2010-04-06,203.619995117188,205.089996337891,198.059997558594,198.550003051758,137.467224121094,1399900,"BLK"
"65",2010-04-07,198.75,201.410003662109,197.860000610352,199.020004272461,137.792617797852,1117600,"BLK"
"66",2010-04-08,197.559997558594,204.589996337891,197.399993896484,204.559997558594,141.628265380859,1329100,"BLK"
"67",2010-04-09,203.979995727539,208.899993896484,203.979995727539,206.110000610352,142.701385498047,774700,"BLK"
"68",2010-04-12,205.369995117188,207,204.649993896484,205.800003051758,142.486755371094,561300,"BLK"
"69",2010-04-13,205.690002441406,207.720001220703,204.539993286133,206.899993896484,143.248291015625,335900,"BLK"
"70",2010-04-14,208.199996948242,211.429992675781,207.509994506836,211.380004882812,146.350082397461,586400,"BLK"
"71",2010-04-15,212,212.270004272461,206.619995117188,206.699996948242,143.109893798828,579800,"BLK"
"72",2010-04-16,206.100006103516,206.679992675781,199.229995727539,200.75,138.990356445312,821200,"BLK"
"73",2010-04-19,199.520004272461,203.630004882812,199.419998168945,202.610000610352,140.278167724609,454800,"BLK"
"74",2010-04-20,204.850006103516,204.850006103516,201.770004272461,203.179992675781,140.672805786133,319500,"BLK"
"75",2010-04-21,202.399993896484,205.350006103516,199.279998779297,201.199996948242,139.301910400391,386700,"BLK"
"76",2010-04-22,202,208.330001831055,200.660003662109,207.789993286133,143.864532470703,698700,"BLK"
"77",2010-04-23,206.910003662109,211.889999389648,206.910003662109,211.020004272461,146.100845336914,591600,"BLK"
"78",2010-04-26,204.300003051758,204.300003051758,192.399993896484,192.949996948242,133.59001159668,1816800,"BLK"
"79",2010-04-27,192,193.779998779297,185.009994506836,185.5,128.431884765625,1042000,"BLK"
"80",2010-04-28,187.789993286133,190.990005493164,181.179992675781,184.440002441406,127.698020935059,1106400,"BLK"
"81",2010-04-29,186.850006103516,191.169998168945,185.520004272461,190.389999389648,131.817581176758,699500,"BLK"
"82",2010-04-30,189.429992675781,189.919998168945,182.479995727539,184,127.393424987793,846600,"BLK"
"83",2010-05-03,185.610000610352,187.410003662109,184.259994506836,185.759994506836,128.611968994141,421000,"BLK"
"84",2010-05-04,184.039993286133,184.5,176.960006713867,177.679992675781,123.017715454102,668200,"BLK"
"85",2010-05-05,174.399993896484,178.440002441406,173.490005493164,174.800003051758,121.023735046387,766600,"BLK"
"86",2010-05-06,173.800003051758,179.419998168945,167.240005493164,171.619995117188,118.822052001953,1279100,"BLK"
